Owner,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Trim,RW,"Player NoteRichard Panik Chi - LW,RW",,,Nsh,17:30,218,139,48%,18,21,11,7,143,123,56
Trim,D,Player NoteDrew Doughty LA - D,,,Buf,19:30,51,27,90%,13,35,12,20,191,124,105
Trim,D,Player NoteJustin Schultz Pit - D,,,Fla,16:00,89,100,88%,10,33,13,14,145,56,109
Trim,D,Player NoteCam Fowler Anh - D,,,,,143,176,61%,9,26,0,14,158,40,122
Trim,D,(Empty),,,,,-,-,0%,0,0,0,0,0,0,0
Trim,BN,No new player NotesJakob Silfverberg Anh - RW,,,,,141,89,33%,25,27,9,11,233,61,50
Trim,BN,Player NoteEric Staal Min - C,,,Cls,17:00,116,67,46%,25,36,10,16,213,43,34
Trim,BN,"Player NoteBrayden Schenn StL - C,LW",,,@TB,16:00,85,46,79%,24,31,3,21,181,171,33
Trim,IR+,"New Player NoteMatt Niskanen Was - D
Injured Reserve",,,@Phi,16:00,174,92,61%,5,30,13,10,144,150,102
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Mike,C,"Player NoteWilliam Nylander Tor - C,RW",,,@Mon,16:00,52,73,76%,24,40,3,22,221,32,24
Mike,C,Player NoteConnor McDavid Edm - C,,,Ott,19:00,1,1,79%,36,74,22,27,263,40,31
Mike,LW,Player NoteBrandon Saad Chi - LW,,,Nsh,17:30,73,49,86%,26,34,14,16,236,30,25
Mike,LW,Player NoteMilan Lucic Edm - LW,,,Ott,19:00,130,96,40%,22,28,-2,16,171,211,22
Mike,RW,No new player NotesCam Atkinson Cls - RW,,,@Min,17:00,74,75,78%,31,27,7,17,233,40,37
Mike,RW,Player NoteMark Stone Ott - RW,,,@Edm,19:00,100,138,70%,22,34,5,14,139,40,54
Mike,D,No new player NotesDuncan Keith Chi - D,,,Nsh,17:30,36,83,94%,8,37,16,14,169,22,113
Mike,D,No new player NotesRyan McDonagh NYR - D,,,NJ,16:00,101,60,84%,7,30,18,12,147,82,155
Mike,D,No new player NotesJared Spurgeon Min - D,,,Cls,17:00,177,154,51%,9,23,13,6,131,50,142
Mike,D,Player NoteNick Leddy NYI - D,,,@SJ,19:30,225,186,42%,7,35,-4,13,131,80,91
Mike,BN,No new player NotesChris Kreider NYR - LW,,,NJ,16:00,135,68,49%,26,24,11,13,191,144,30
Mike,BN,No new player NotesTyler Johnson TB - C,,,StL,16:00,154,206,18%,17,25,0,15,159,46,31
Mike,BN,"Player NoteConor Sheary Pit - LW,RW",,,Fla,16:00,126,80,57%,24,31,12,15,199,35,56
Mike,BN,"Player NoteJonathan Drouin Mon - C,LW,RW",,,Tor,16:00,99,182,57%,23,31,-12,19,211,55,14
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Shep,C,Player NoteAuston Matthews Tor - C,,,@Mon,16:00,4,18,82%,37,41,7,21,277,31,64
Shep,C,"Player NotePatrick Marleau Tor - C,LW",,,@Mon,16:00,144,122,47%,25,24,4,17,195,71,34
Shep,LW,Player NoteJeff Skinner Car - LW,,,@Wpg,16:00,84,142,56%,31,27,-5,13,260,30,24
Shep,LW,"New Player NoteJake Guentzel Pit - C,LW",,,Fla,16:00,123,85,72%,29,32,5,15,177,112,27
Shep,RW,Player NoteDavid Pastrnak Bos - RW,,,@Ari,18:00,43,31,72%,33,32,5,24,254,77,21
Shep,RW,Player NoteT.J. Oshie Was - RW,,,@Phi,16:00,86,53,87%,27,25,15,13,191,100,54
Shep,D,Player NoteOliver Ekman-Larsson Ari - D,,,Bos,18:00,79,147,87%,13,30,-11,20,177,122,81
Shep,D,Player NoteNikita Zaitsev Tor - D,,,@Mon,16:00,213,184,51%,5,31,-10,9,121,167,132
Shep,D,Player NoteNick Holden NYR - D,,,NJ,16:00,250,163,8%,8,24,10,4,100,156,100
Shep,D,Player NoteMattias Ekholm Nsh - D,,,@Chi,17:30,221,228,21%,5,22,6,6,125,66,110
Shep,BN,Player NoteJonathan Toews Chi - C,,,Nsh,17:30,83,58,74%,28,32,11,17,202,61,35
Shep,BN,"New Player NoteNathan MacKinnon Col - C
Day-to-Day",,,@Dal,17:00,111,172,51%,22,34,-12,16,233,50,34
Shep,BN,New Player NoteKyle Palmieri NJ - RW,,,@NYR,16:00,122,84,50%,28,27,1,19,188,125,40
Shep,BN,Player NoteEvander Kane Buf - LW,,,@LA,19:30,113,167,69%,24,16,-11,12,256,144,30
